Data,Out
Least developed: Latin America and the Caribbean,
Least developed: Oceania,
Lebanon,Lebanon
Lesotho,Lesotho
Less developed regions,
"Less developed regions, excluding China",
"Less developed regions, excluding least developed countries",
Less developed: Africa,
Less developed: Asia,
Less developed: Latin America and the Caribbean,
Less developed: Oceania,
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Low-income countries,
Lower-middle-income countries,
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Mayotte,Mayotte
Melanesia,Melanesia
Mexico,Mexico
Micronesia,Micronesia
Micronesia (Fed. States of),
Middle Africa,Middle Africa
Middle-income countries,
Mongolia,Mongolia
Montenegro,Montenegro
More developed regions,
More developed: Asia,
More developed: Europe,
More developed: Northern America,
More developed: Oceania,
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
Netherlands (and dependencies),
New Caledonia,
New EU member states (joined since 2004),
New Zealand,New Zealand
New Zealand (and dependencies),
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
No income group available,
Non-Self-Governing Territories,
North American Free Trade Agreement (NAFTA),
North Atlantic Treaty Organization (NATO),
North Macedonia,North Macedonia
Northern Africa,
Northern Africa and Western Asia,
Northern America,
Northern Europe,
Norway,Norway
Oceania,
Oceania (excluding Australia and New Zealand),
Oman,Oman
Organisation for Economic Co-operation and Development (OECD),
Organization for Security and Co-operation in Europe (OSCE),
Organization of American States (OAS),
Organization of Petroleum Exporting countries (OPEC),
Organization of the Islamic Conference (OIC),
Pakistan,Pakistan
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Polynesia,Polynesia
Portugal,Portugal
Puerto Rico,Puerto Rico
Qatar,Qatar
Republic of Korea,South Korea
Republic of Moldova,Republic of Moldova
Romania,Romania
Russian Federation,Russian Federation
Rwanda,Rwanda
Réunion,Réunion
"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)",
SIDS Caribbean,
SIDS Pacific,
Saint Lucia,Saint Lucia
Saint Vincent and the Grenadines,Saint Vincent
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Shanghai Cooperation Organization (SCO),
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Slovenia,Slovenia
Small Island Developing States (SIDS),
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South America,
South Asian Association for Regional Cooperation (SAARC),
South Sudan,
South-Eastern Asia,
Southern Africa,
Southern African Development Community (SADC),
Southern Asia,
Southern Common Market (MERCOSUR),
Southern Europe,
Spain,Spain
Sri Lanka,Sri Lanka
State of Palestine,State of Palestine
Sub-Saharan Africa,
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syrian Arab Republic,Syrian Arab Republic
Tajikistan,Tajikistan
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
UN-ECE: member countries,
UNFPA Regions,
UNFPA: Arab States (AS),
UNFPA: Asia and the Pacific (AP),
UNFPA: East and Southern Africa (ESA),
UNFPA: Eastern Europe and Central Asia (EECA),
UNFPA: Latin America and the Caribbean (LAC),
UNFPA: West and Central Africa (WCA),
UNICEF PROGRAMME REGIONS,
UNICEF Programme Regions: East Asia and Pacific (EAPRO),
UNICEF Programme Regions: Eastern Caribbean,
UNICEF Programme Regions: Eastern and Southern Africa (ESARO),
UNICEF Programme Regions: Europe and Central Asia (CEECIS),
UNICEF Programme Regions: Latin America,
UNICEF Programme Regions: Latin America and Caribbean (LACRO),
UNICEF Programme Regions: Middle East and North Africa (MENARO),
UNICEF Programme Regions: South Asia (ROSA),
UNICEF Programme Regions: West and Central Africa (WCARO),
UNICEF REGIONS,
UNICEF Regions: East Asia and Pacific,
UNICEF Regions: Eastern Europe and Central Asia,
UNICEF Regions: Eastern and Southern Africa,
UNICEF Regions: Europe and Central Asia,
UNICEF Regions: Latin America and Caribbean,
UNICEF Regions: Middle East and North Africa,
UNICEF Regions: North America,
UNICEF Regions: South Asia,
UNICEF Regions: Sub-Saharan Africa,
UNICEF Regions: West and Central Africa,
UNICEF Regions: Western Europe,
UNITED NATIONS Regional Groups of Member States,
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United Kingdom (and dependencies),
United Nations Economic Commission for Africa (UN-ECA),
United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC),
United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions,
United Nations Member States,
United Republic of Tanzania,Tanzania
United States Virgin Islands,
United States of America,USA
United States of America (and dependencies),
Upper-middle-income countries,
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela (Bolivarian Republic of),Venezuela
Viet Nam,Viet Nam
WB region: East Asia and Pacific (excluding high income),
WB region: Europe and Central Asia (excluding high income),
WB region: Latin America and Caribbean (excluding high income),
WB region: Middle East and North Africa (excluding high income),
WB region: South Asia (excluding high income),
WB region: Sub-Saharan Africa (excluding high income),
WHO Regions,
WHO: African region (AFRO),
WHO: Americas (AMRO),
WHO: Eastern Mediterranean Region (EMRO),
WHO: European Region (EURO),
WHO: South-East Asia region (SEARO),
WHO: Western Pacific region (WPRO),
West African Economic and Monetary Union (UEMOA),
Western Africa,
Western Asia,
Western Europe,
Western European and Others Group (WEOG),
Western Sahara,
World,
World Bank Regional Groups (developing only),
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
